Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1961,1961,%,57.75,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1962,1962,%,57.84,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1963,1963,%,57.91,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1964,1964,%,58.01,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1965,1965,%,58.01,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1966,1966,%,58.07,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1967,1967,%,58.17,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1968,1968,%,58.17,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1969,1969,%,58.2,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1970,1970,%,58.21,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1971,1971,%,58.26,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1972,1972,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1973,1973,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1974,1974,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1975,1975,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1976,1976,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1977,1977,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1978,1978,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1979,1979,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1980,1980,%,58.28,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1981,1981,%,58.29,Fc,Calculated data
EL,Land use indicators,2,Afghanistan,7209,Share in Land area,6610,Agricultural land,1982,1982,%,58.29,Fc,Calculated data
